age,avg_order_value,total_orders,last_purchase,is_fraudulent,email_open_rate,loyalty_score,churn_risk,tenure_days,gender_encoded,country_encoded,category_encoded
30,101.08,8,176,1,25.6,50,0.2,404,0,1,0
53,90.39,10,88,0,12.3,37,0.34,511,0,9,1
73,83.28,6,203,0,50.95,65,0.05,454,1,0,4
30,109.9,9,346,1,42.9,93,0.19,1832,2,7,1
29,269.38,16,342,0,5.3,79,0.15,96,0,2,2
54,114.31,11,210,0,56.5,44,0.21,1381,1,2,0
27,34.03,7,212,0,0.2,60,0.39,1303,0,2,1
77,171.25,9,20,0,15.1,29,0.24,1616,0,1,1
73,116.79,10,87,0,14.7,85,0.37,1776,0,0,4
26,55.93,4,12,0,68.8,63,0.52,505,1,4,2
69,128.78,7,119,0,48.6,76,0.11,281,0,6,2
24,88.23,14,177,0,83.6,26,0.12,435,0,2,0
19,77.24,12,128,0,26.5,45,0.63,1477,1,6,3
71,91.39,8,50,0,21.1,95,0.34,1095,0,1,3
73,131.23,7,41,0,80.3,35,0.61,419,0,6,4
77,95.89,9,317,0,44.4,78,0.23,1540,0,3,0
40,107.03,11,94,0,27.4,7,0.27,1342,1,1,4
56,123.34,8,241,0,41.8,67,0.13,263,0,6,0
57,87.13,8,355,0,42.5,53,0.33,595,0,9,2
56,58.03,11,60,0,57.2,41,0.2,988,1,2,3
38,32.99,11,348,0,3.8,4,0.15,172,1,5,1
40,191.86,8,227,0,24.8,2,0.31,379,0,8,3
46,127.42,8,276,0,46.7,35,0.1,1701,0,1,0
31,186.72,7,17,0,54.2,33,0.08,1514,1,7,3
43,105.48,15,243,0,15.9,50,0.38,1799,0,8,1
68,220.27,1,310,0,19.4,13,0.25,880,1,4,2
22,137.27,6,323,0,72.8,7,0.43,1545,0,1,2
72,64.45,12,46,0,78.6,39,0.37,591,2,1,0
48,55.0,11,309,0,7.5,91,0.44,541,0,6,3
42,61.94,8,17,0,99.0,49,0.41,1395,1,1,0
48,93.19,8,200,0,43.3,3,0.27,928,0,2,3
67,109.18,11,252,0,58.6,17,0.31,1423,1,0,4
37,75.98,6,191,0,59.4,25,0.22,1650,1,0,0
61,46.66,7,48,0,34.6,94,0.34,570,0,4,3
72,106.23,13,93,0,54.5,14,0.25,643,0,3,4
34,112.56,13,236,0,58.3,93,0.28,1381,1,5,0
62,175.73,14,221,0,76.1,5,0.33,1351,2,3,2
19,22.72,12,166,0,66.2,71,0.05,390,0,2,4
42,103.97,13,253,0,44.7,83,0.09,241,1,2,0
30,43.35,13,56,0,19.1,33,0.08,170,0,9,1
75,48.94,11,5,0,2.5,85,0.14,1243,0,0,2
56,53.17,5,237,0,65.2,51,0.09,829,0,8,4
45,26.94,10,220,0,47.8,85,0.38,179,0,7,3
59,112.99,8,223,0,96.6,17,0.41,921,0,1,1
72,100.28,10,77,0,9.8,87,0.19,1658,1,5,3
23,66.53,9,19,0,7.3,61,0.06,1089,0,7,1
20,99.42,12,305,0,18.1,91,0.3,1553,0,3,0
75,107.61,14,264,0,37.7,31,0.25,1277,1,7,0
52,77.22,9,203,0,17.5,15,0.21,683,0,9,3
35,35.2,10,141,0,46.4,40,0.15,464,2,5,3
28,82.36,9,303,0,34.0,65,0.19,238,2,5,3
71,26.6,7,79,0,99.9,20,0.28,1776,1,9,4
37,99.86,13,209,0,96.7,34,0.24,20,1,2,2
22,93.19,9,255,0,36.5,65,0.13,1307,0,9,3
36,50.6,11,311,0,79.2,32,0.36,1022,1,2,0
39,64.39,10,39,0,24.2,22,0.4,1101,2,8,0
76,188.66,19,352,0,5.8,62,0.33,441,1,4,3
77,142.52,10,201,0,4.0,93,0.31,1463,1,2,3
36,93.19,12,85,0,2.9,45,0.35,873,1,7,0
79,78.1,16,42,0,73.6,11,0.17,307,1,2,4
64,29.96,10,235,0,34.2,33,0.38,770,0,4,1
79,25.66,12,69,0,82.4,38,0.33,1551,0,3,0
33,37.74,9,355,0,87.4,65,0.17,745,1,1,1
41,38.89,8,130,1,30.6,63,0.3,1715,1,9,3
58,224.56,4,131,0,28.9,38,0.07,1113,0,1,2
21,177.53,4,247,0,30.8,73,0.26,788,1,9,3
32,22.84,11,154,0,47.5,13,0.59,1141,0,8,3
42,36.64,13,229,0,1.6,48,0.35,740,0,0,3
61,99.99,8,88,0,1.1,24,0.19,656,0,7,0
72,101.05,9,228,0,73.5,36,0.22,655,2,7,0
